,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
SMC1,X,X,X,X,X,,,,,,,,,,,,,X
SMC2,X,X,,,X,,,,,,,,,,,,,X
SMC3,X,,,X,,,,,,,,,,,,,,
SMC4,X,,,,,,,,,,,,,,,,,
SMC5,X,,X,,,,,,,,,,,,,,,
SMC6,,,,,,,,,,,,,,,,,,
CV1,,,,,X,,,,,,,,,,,,,X
CV2,,,,,X,,,,,,,,,,,,,
CV3,,,,,X,,,,,,,,,,,,,
CV4,,,,,X,,,,,,,,,,,,,X
CV5,,,,,X,,,,,,,,,,,,,X
CV6,,,,,,X,,,,,,,,,,,,X
CV7,,,,,X,,,,,,,,,,,,,
CV8,,,,,X,,,,,,,,,,,,,
CV9,,,,,X,,,,,,,,,,,,,
CV10,,,,,,X,,,,,,,,,,,,
SR1,,,,,,,,,,,,,,X,X,,,
SR2,,,,,,,X,,,,,,,X,X,,,
SR3,,,,,,,,,,,,,,,,,,
SR4,,,,,,,,,,,,,,X,,,,
SR5,,,,,,,,,,,,,,X,,,,
SM1,X,,X,,X,,,,,,,,,,,,,
SM2,X,X,,,X,,,,,,,,,,,,,X
SM3,,,,,,,,,,,,,,,,,,
DS1,,,,,,,,X,,,,,,,,,,
DS2,X,X,X,X,X,X,,,,,,,,,,,,X
DS3,,,,,,X,,,,,,,,,,,,
DS4,,,,,,,,,X,,,,,,,,,
DS5,,,,,X,X,X,X,,,,,X,,,,,
UI1,,,,,,,,X,X,X,X,X,X,,,X,X,
UI2,,,,,,,,X,X,X,X,X,X,,,X,X,
UI3,,,,,,,,,,,,,,,,X,,
UI4,,,,,,,,X,,,,,,,,,,
UI5,,,,,,,,X,X,,,,,,,,,
UI6,,,,,X,X,X,,,,,,X,X,,,,
SS1,,,,,,,X,,,,,,,X,X,,,
SS2,,,,,,,X,,,,,,,X,X,,,
SS3,,,,,,,,,,,,,,,,,,
SS4,,,,,,,,,,,,,,X,,,,
SS5,,,,,,,,,,,,,,,X,,,
SS6,,,,,,,,,,,,,,X,,,,
SS7,,,,,,,,,,,,,,X,,,,
SS8,,,,,X,X,,,,,,,,,,,,X
SS9,,,,,X,X,,,,,,,,,,,,X
SS10,,,,,X,X,,,,,,,,,,,,X
SS11,,,,,X,X,,,,,,,,,,,,X
SS12,,,,,,X,,X,X,,,,X,,,,,X
SS13,,,,,,X,,X,X,,,,X,,,,,X
SS14,,,,,,,,X,,,,,,,,,,
SS15,,,,,,X,,,,,,,,,,,,
SS16,,,,,,,,,X,,,,,,,,,
SS17,X,X,X,X,X,,,,,,,,,,,,,X
SS18,X,X,X,X,X,,,,,,,,,,,,,X
SS19,X,,X,,,,,,,,,,,,,,,
SS20,X,,X,,,,,,,,,,,,,,,
SS21,X,X,,,X,,,,,,,,,,,,,X
SS22,X,X,,,X,,,,,,,,,,,,,X
